STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,EDUCATION,Education level,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,_T,All education levels,2020,,53430,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,0,Early childhood education,2020,,1804,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,1,Primary education,2020,,6470,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2,Lower secondary education,2020,,20496,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,3,Upper secondary education,2020,,20820,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2020,,956,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2020,,1844,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,9,Level not stated,2020,,1040,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PD,Persons with disability,_T,All education levels,2020,,4516,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PD,Persons with disability,0,Early childhood education,2020,,595,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PD,Persons with disability,1,Primary education,2020,,1125,,N,units,,,,,,,,,,
