island,year,age,female_employed,male_employed,ratio
Kiribati,2019,25-54,7856.0,11450.0,-31.38864628820961
Kiribati,2019,55-64,869.0,1055.0,-17.6303317535545
Marshall Islands,2011,25-54,3255.0,5935.0,-45.155855096882895
Marshall Islands,2011,55-64,393.0,836.0,-52.99043062200957
Marshall Islands,2019,25-54,4030.0,8497.0,-52.57149582205485
Marshall Islands,2019,55-64,600.0,1456.0,-58.791208791208796
Nauru,2011,25-54,919.0,1364.0,-32.624633431085044
Nauru,2011,55-64,69.0,103.0,-33.00970873786408
Nauru,2012,25-54,1156.0,1669.0,-30.736968244457756
Nauru,2012,55-64,104.0,136.0,-23.52941176470588
