STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,ECONOMIC_SECTOR,Economic sector,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,NR,Nauru,EMPLOYEDAF,Number of employed persons,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2011,,3008,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,NR,Nauru,EMPLOYEDAF,Number of employed persons,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2012,,3893,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,CK,Cook Islands,EMPLOYEDAF,Number of employed persons,M,Male,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2015,,3710,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,TK,Tokelau,EMPLOYEDAF,Number of employed persons,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2015,,547,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,TK,Tokelau,EMPLOYEDAF,Number of employed persons,F,Female,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2015,,241,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,NU,Niue,EMPLOYEDAF,Number of employed persons,M,Male,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2015,,414,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,NU,Niue,EMPLOYEDAF,Number of employed persons,M,Male,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2017,,411,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,M,Male,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2011,,7832,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,M,Male,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2019,,11009,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,PW,Palau,EMPLOYEDAF,Number of employed persons,F,Female,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2013,,3445,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,PW,Palau,EMPLOYEDAF,Number of employed persons,F,Female,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2015,,3574,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_SECTOR(1.0),Employed population by economic sector,I,A,Annual,TV,Tuvalu,EMPLOYEDAF,Number of employed persons,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,_T,All activity sectors,2015,,2801,,N,units,,,,,,,,,,
