Pacific Island Countries and territories,Urbanization,Occupation,TIME_PERIOD,OBS_VALUE
Solomon Islands,National,Plant and Machine Operators and Assemblers,2012,0.41
Solomon Islands,National,All occupations,2012,0.85
Solomon Islands,National,Managers,2012,0.99
Solomon Islands,National,Craft and Related Trades Workers,2012,0.63
Solomon Islands,National,Elementary Occupations,2012,0.83
Solomon Islands,National,Clerical Support Workers,2012,1.8
Solomon Islands,National,Technicians and Associate Professionals,2012,1.1
Solomon Islands,National,Services and Sales Workers,2012,0.62
Solomon Islands,National,"Skilled Agricultural, Forestry and Fishery Workers",2012,1.14
Solomon Islands,National,Professionals,2012,0.82
Solomon Islands,Rural,Elementary Occupations,2012,0.83
Solomon Islands,Rural,Plant and Machine Operators and Assemblers,2012,0.41
Solomon Islands,Rural,Professionals,2012,0.82
Solomon Islands,Rural,Managers,2012,0.99
Solomon Islands,Rural,Technicians and Associate Professionals,2012,1.1
Solomon Islands,Rural,All occupations,2012,0.91
Solomon Islands,Rural,Services and Sales Workers,2012,0.62
Solomon Islands,Rural,"Skilled Agricultural, Forestry and Fishery Workers",2012,1.14
Solomon Islands,Rural,Clerical Support Workers,2012,1.8
Solomon Islands,Rural,Craft and Related Trades Workers,2012,0.63
Solomon Islands,Urban,Craft and Related Trades Workers,2012,0.63
Solomon Islands,Urban,All occupations,2012,0.77
Solomon Islands,Urban,Technicians and Associate Professionals,2012,1.1
Solomon Islands,Urban,Services and Sales Workers,2012,0.62
Solomon Islands,Urban,Managers,2012,0.99
Solomon Islands,Urban,Plant and Machine Operators and Assemblers,2012,0.41
Solomon Islands,Urban,Elementary Occupations,2012,0.83
Solomon Islands,Urban,Professionals,2012,0.82
Solomon Islands,Urban,"Skilled Agricultural, Forestry and Fishery Workers",2012,1.14
Solomon Islands,Urban,Clerical Support Workers,2012,1.8
Micronesia (Federated States of),National,All occupations,2013,0.94
Micronesia (Federated States of),National,"Skilled Agricultural, Forestry and Fishery Workers",2013,0.41
Micronesia (Federated States of),National,Craft and Related Trades Workers,2013,0.67
Micronesia (Federated States of),National,Elementary Occupations,2013,1.16
Micronesia (Federated States of),National,Plant and Machine Operators and Assemblers,2013,0.7
Micronesia (Federated States of),National,Technicians and Associate Professionals,2013,0.85
Micronesia (Federated States of),National,Clerical Support Workers,2013,1.69
Micronesia (Federated States of),National,Professionals,2013,0.92
Micronesia (Federated States of),National,Managers,2013,1.21
Micronesia (Federated States of),National,Services and Sales Workers,2013,0.95
Micronesia (Federated States of),Rural,Managers,2013,1.21
Micronesia (Federated States of),Rural,Professionals,2013,0.92
Micronesia (Federated States of),Rural,Plant and Machine Operators and Assemblers,2013,0.7
Micronesia (Federated States of),Rural,Elementary Occupations,2013,1.16
Micronesia (Federated States of),Rural,Craft and Related Trades Workers,2013,0.67
Micronesia (Federated States of),Rural,All occupations,2013,0.92
Micronesia (Federated States of),Rural,Technicians and Associate Professionals,2013,0.85
Micronesia (Federated States of),Rural,Clerical Support Workers,2013,1.69
Micronesia (Federated States of),Rural,Services and Sales Workers,2013,0.95
Micronesia (Federated States of),Rural,"Skilled Agricultural, Forestry and Fishery Workers",2013,0.41
Micronesia (Federated States of),Urban,Clerical Support Workers,2013,1.69
Micronesia (Federated States of),Urban,Technicians and Associate Professionals,2013,0.85
Micronesia (Federated States of),Urban,Services and Sales Workers,2013,0.95
Micronesia (Federated States of),Urban,Managers,2013,1.21
Micronesia (Federated States of),Urban,Elementary Occupations,2013,1.16
Micronesia (Federated States of),Urban,Craft and Related Trades Workers,2013,0.67
Micronesia (Federated States of),Urban,Plant and Machine Operators and Assemblers,2013,0.7
Micronesia (Federated States of),Urban,All occupations,2013,0.96
Micronesia (Federated States of),Urban,"Skilled Agricultural, Forestry and Fishery Workers",2013,0.41
Micronesia (Federated States of),Urban,Professionals,2013,0.92
Palau,National,Managers,2013,0.95
Palau,National,Elementary Occupations,2013,0.37
Palau,National,Professionals,2013,0.85
Palau,National,Plant and Machine Operators and Assemblers,2013,0.91
Palau,National,Craft and Related Trades Workers,2013,0.89
Palau,National,Technicians and Associate Professionals,2013,1.33
Palau,National,All occupations,2013,0.94
Palau,National,Services and Sales Workers,2013,0.86
Palau,National,"Skilled Agricultural, Forestry and Fishery Workers",2013,1.11
Palau,National,Clerical Support Workers,2013,1.34
Palau,Rural,Professionals,2013,0.85
Palau,Rural,Elementary Occupations,2013,0.37
Palau,Rural,Clerical Support Workers,2013,1.34
Palau,Rural,Plant and Machine Operators and Assemblers,2013,0.91
Palau,Rural,"Skilled Agricultural, Forestry and Fishery Workers",2013,1.11
Palau,Rural,Services and Sales Workers,2013,0.86
Palau,Rural,Technicians and Associate Professionals,2013,1.33
Palau,Rural,Craft and Related Trades Workers,2013,0.89
Palau,Rural,Managers,2013,0.95
Palau,Rural,All occupations,2013,0.9
Palau,Urban,"Skilled Agricultural, Forestry and Fishery Workers",2013,1.11
Palau,Urban,Services and Sales Workers,2013,0.86
Palau,Urban,Clerical Support Workers,2013,1.34
Palau,Urban,All occupations,2013,0.96
Palau,Urban,Plant and Machine Operators and Assemblers,2013,0.91
Palau,Urban,Professionals,2013,0.85
Palau,Urban,Managers,2013,0.95
Palau,Urban,Technicians and Associate Professionals,2013,1.33
Palau,Urban,Craft and Related Trades Workers,2013,0.89
Palau,Urban,Elementary Occupations,2013,0.37
Samoa,National,Managers,2013,1.18
Samoa,National,Plant and Machine Operators and Assemblers,2013,0.87
Samoa,National,All occupations,2013,1.29
Samoa,National,Craft and Related Trades Workers,2013,0.81
Samoa,National,Elementary Occupations,2013,0.99
Samoa,National,Not allocated/unspecified,2013,2.13
Samoa,National,Clerical Support Workers,2013,0.9
Samoa,National,Technicians and Associate Professionals,2013,1.9
Samoa,National,Services and Sales Workers,2013,0.82
Samoa,National,"Skilled Agricultural, Forestry and Fishery Workers",2013,2.33
Samoa,National,Professionals,2013,0.94
Samoa,Rural,Professionals,2013,0.94
Samoa,Rural,Managers,2013,1.18
Samoa,Rural,Technicians and Associate Professionals,2013,1.9
Samoa,Rural,Plant and Machine Operators and Assemblers,2013,0.87
Samoa,Rural,"Skilled Agricultural, Forestry and Fishery Workers",2013,2.33
Samoa,Rural,Services and Sales Workers,2013,0.82
Samoa,Rural,All occupations,2013,1.36
Samoa,Rural,Clerical Support Workers,2013,0.9
Samoa,Rural,Craft and Related Trades Workers,2013,0.81
Samoa,Rural,Elementary Occupations,2013,0.99
Samoa,Rural,Not allocated/unspecified,2013,2.13
Samoa,Urban,Services and Sales Workers,2013,0.82
Samoa,Urban,Craft and Related Trades Workers,2013,0.81
Samoa,Urban,Technicians and Associate Professionals,2013,1.9
Samoa,Urban,All occupations,2013,1.8
Samoa,Urban,Managers,2013,1.18
Samoa,Urban,Elementary Occupations,2013,0.99
Samoa,Urban,Plant and Machine Operators and Assemblers,2013,0.87
Samoa,Urban,Not allocated/unspecified,2013,2.13
Samoa,Urban,Professionals,2013,0.94
Samoa,Urban,"Skilled Agricultural, Forestry and Fishery Workers",2013,2.33
Samoa,Urban,Clerical Support Workers,2013,0.9
Tuvalu,National,Plant and Machine Operators and Assemblers,2015,0.53
Tuvalu,National,All occupations,2015,0.84
