island,year,share_female_lead,age,categories
Vanuatu,2019,26.8,55-64,Vanuatu 55-64
Vanuatu,2019,22.7,25-54,Vanuatu 25-54
Tuvalu,2015,24.4,55-64,Tuvalu 55-64
Tuvalu,2015,37.9,25-54,Tuvalu 25-54
Tonga,2021,27.8,55-64,Tonga 55-64
Tonga,2021,37.9,25-54,Tonga 25-54
Solomon Islands,2012,7.3,55-64,Solomon Islands 55-64
Solomon Islands,2012,22.3,25-54,Solomon Islands 25-54
Samoa,2013,42.3,55-64,Samoa 55-64
Samoa,2013,39.1,25-54,Samoa 25-54
Palau,2013,42.7,55-64,Palau 55-64
Palau,2013,35.7,25-54,Palau 25-54
Nauru,2012,54.3,55-64,Nauru 55-64
Nauru,2012,34.1,25-54,Nauru 25-54
Micronesia (Federated States of),2013,11.7,55-64,Micronesia (Federated States of) 55-64
Micronesia (Federated States of),2013,21.8,25-54,Micronesia (Federated States of) 25-54
Marshall Islands,2019,12.1,55-64,Marshall Islands 55-64
Marshall Islands,2019,33.2,25-54,Marshall Islands 25-54
Kiribati,2019,44.3,55-64,Kiribati 55-64
Kiribati,2019,35.5,25-54,Kiribati 25-54
